127.0.0.1 - - [01/Sep/2021:10:04:17 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:04:17 +0700] "GET /web_ex_crud/ HTTP/1.1" 200 2418
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:04:25 +0700] "GET /web_ex_crud/login?username=skikes11&password=123456bo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:04:28 +0700] "GET /web_ex_crud/listwaifu HTTP/1.1" 200 17722
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:04:34 +0700] "GET /web_ex_crud/listwaifu HTTP/1.1" 200 17722
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:04:36 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:04:39 +0700] "GET /web_ex_crud/AddToCart?WaifuID=3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:04:51 +0700] "GET /web_ex_crud/AddToCart?WaifuID=2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:06 +0700] "GET /web_ex_crud/listwaifu HTTP/1.1" 200 17722
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:10 +0700] "GET /web_ex_crud/AddToCart?WaifuID=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:12 +0700] "GET /web_ex_crud/listwaifu HTTP/1.1" 200 17722
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:16 +0700] "GET /web_ex_crud/AddToCart?WaifuID=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:18 +0700] "GET /web_ex_crud/listwaifu HTTP/1.1" 200 17722
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:23 +0700] "GET /web_ex_crud/AddToCart?WaifuID=12 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:25 +0700] "GET /web_ex_crud/listwaifu HTTP/1.1" 200 17722
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:27 +0700] "GET /web_ex_crud/Cart HTTP/1.1" 200 13216
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:29 +0700] "GET /web_ex_crud/QuantityPlusFromCart?wID=12 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:29 +0700] "GET /web_ex_crud/Cart.jsp HTTP/1.1" 200 13218
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:30 +0700] "GET /web_ex_crud/QuantityPlusFromCart?wID=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:30 +0700] "GET /web_ex_crud/Cart.jsp HTTP/1.1" 200 13219
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:30 +0700] "GET /web_ex_crud/QuantityPlusFromCart?wID=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:30 +0700] "GET /web_ex_crud/Cart.jsp HTTP/1.1" 200 13219
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:32 +0700] "GET /web_ex_crud/QuantityPlusFromCart?wID=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:32 +0700] "GET /web_ex_crud/Cart.jsp HTTP/1.1" 200 13220
